10015924Lisa Moore                    0727336973American TX 64241                            73838362006-05-01
74090363Elizabeth Martinez            0907358126Cherokee VA 61849                            72111262016-08-11
74144142Harper Bennett                1343786660Talmadge NM 58990                            63402112006-03-26
74151771Dorothy Davis                 1504045648Morning OH 34272                             81557952008-05-08
74195552Elizabeth Thomas              1976599319Hanson KS 65220                              34073182001-02-23
74284136Betty Moore                   0938925053Sachs NE 34911                               68352532007-09-13
74296336Kevin Reed                    0810013457Marcy GA 79650                               18952232003-03-05
74308872Amelia Butler                 0890712454Cambridge TN 32503                           48320402004-06-12
74342604Amelia Davis                  1355962959Hollow Ridge CO 94270                        25491842021-01-07
74372490Betty White                   1785590504Mifflin MA 10772                             80260362006-05-20
74464118Smith Harris                  1904960916Lyons AZ 24846                               39924422021-07-28
74473508Mary Rivera                   1263580479Ludington DC 08703                           78683732019-03-14
74478024Sophia Morgan                 0571853375Cambridge TN 32503                           99610612016-08-29
74484419Garcia Wilson                 0493533203Myrtle TX 47469                              46546862017-10-24
74533772Sharon Reed                   1225436104Morning FL 11085                             26613782009-02-15
74533906Thomas Taylor                 1839920044Mallard PA 96259                             93912752012-08-03
74583597Amelia Jackson                0482789947Marcy GA 79650                               54701402008-11-07
74673788Evelyn Wright                 0558077909Green Ridge VA 93160                         21341892021-10-14
74692167Martinez Phillips             1153028600Fuller WY 54911                              95904002002-11-12
74714320Brown Morris                  1974345753Superior IL 87732                            84156522004-09-19
