18924102FullerFuller                  1189241033MarMar                                       18924092018-11-28
19832332AnitriaAnitria                1198323337EulogioEulogio                               19832322021-12-31
14090918ZaynabZaynab                  0140909189AnisAnis                                     14090912003-05-13
10312802JenyJeny                      0103128027HaigHaig                                     10312801991-01-01
19900532AlmetraAlmetra                1199005335EarnieEarnie                                 19900522021-12-31
18779873IshahIshah                    1187798745BakerBaker                                   18779862018-11-28
12889434MoneMone                      0128894349GraylinGraylin                               12889431999-04-09
10593654ChenitaChenita                0105936540BrytonBryton                                 10593651992-01-02
11629391JavarusJavarus                0116293915SequoyahSequoyah                             11629381996-02-06
14231326TramaneTramane                0142313268IngeInge                                     14231322004-06-14
16665765WilishaWilisha                1166657660AzimAzim                                     16665752011-08-21
19671039BordenBorden                  1196710399MariamaMariama                               19671032020-12-30
13046490LorianaLoriana                0130464909RonanRonan                                   13046482000-04-10
13798348CheliseChelise                0137983490RudieRudie                                   13798342002-05-12
